,Date,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Dew_PointC,MeanDew_PointC,Min_DewpointC,Max_Humidity,Mean_Humidity,Min_Humidity,Max_Sea_Level_PressurehPa,Mean_Sea_Level_PressurehPa,Min_Sea_Level_PressurehPa,Max_VisibilityKm,Mean_VisibilityKm,Min_VisibilitykM,Max_Wind_SpeedKm_h,Mean_Wind_SpeedKm_h,Max_Gust_SpeedKm_h,Precipitationmm,CloudCover,Events,WindDirDegrees,State
57,2013-02-27,4,1,-2,0,-1,-2,100,85,62,1035,1033,1031,18.0,9.0,4.0,19,11,,0.0,7.0,Fog-Rain,71,HB
58,2013-02-28,3,-1,-5,3,-1,-5,100,98,86,1032,1028,1024,5.0,3.0,1.0,14,6,,0.0,6.0,Fog-Rain,265,HB
59,2013-03-01,3,1,-3,3,-1,-3,100,80,60,1027,1024,1023,19.0,11.0,3.0,26,16,,0.0,6.0,Fog-Rain,312,HB
60,2013-03-02,3,-2,-7,0,-2,-6,100,91,71,1027,1024,1021,26.0,9.0,0.0,23,8,,0.0,6.0,Fog,268,HB
61,2013-03-03,7,2,-2,3,0,-2,100,81,48,1024,1022,1020,31.0,12.0,10.0,26,18,,0.0,5.0,Fog-Rain,296,HB
62,2013-03-04,9,2,-4,2,-1,-4,100,82,42,1024,1021,1015,31.0,7.0,0.0,21,8,,0.0,5.0,Fog,140,HB
63,2013-03-05,12,6,-1,1,-1,-3,87,65,28,1016,1011,1007,31.0,21.0,14.0,14,10,,0.0,,,124,HB
64,2013-03-06,14,6,-3,2,0,-2,100,67,28,1007,1005,1003,31.0,19.0,11.0,19,8,,0.0,,,86,HB
65,2013-03-07,10,6,2,2,1,-1,87,72,44,1005,1004,1003,26.0,10.0,5.0,34,19,,0.0,6.0,Rain,80,HB
66,2013-03-08,4,2,1,1,1,-1,93,85,66,1006,1005,1004,26.0,11.0,8.0,35,27,,0.76,6.0,Rain,96,HB
67,2013-03-09,1,0,0,1,-1,-2,100,92,76,1006,1003,1000,18.0,6.0,3.0,29,24,,5.08,7.0,Rain-Snow,92,HB
68,2013-03-10,-2,-2,-3,0,-3,-6,100,88,67,1008,1004,1000,27.0,8.0,2.0,29,24,,0.0,6.0,Rain-Snow,54,HB
69,2013-03-11,-2,-3,-5,-4,-6,-6,93,84,69,1011,1009,1008,26.0,10.0,3.0,29,21,47.0,0.0,6.0,Snow,38,HB
70,2013-03-12,-2,-6,-9,-6,-9,-10,95,70,43,1011,1008,1006,31.0,17.0,10.0,21,16,,0.0,4.0,,44,HB
71,2013-03-13,1,-6,-12,-1,-7,-12,100,89,61,1007,1005,1004,31.0,10.0,0.0,16,6,,0.25,4.0,Fog-Snow,220,HB
72,2013-03-14,-1,-4,-9,-2,-7,-11,100,74,32,1014,1011,1007,31.0,10.0,0.0,24,10,,0.0,4.0,Fog-Snow,335,HB
73,2013-03-15,1,-4,-11,-5,-8,-11,100,71,40,1016,1015,1014,31.0,17.0,8.0,21,8,,0.0,5.0,Fog-Snow,186,HB
74,2013-03-16,6,2,-1,-1,-3,-6,87,65,40,1015,1011,1007,27.0,12.0,4.0,27,19,,0.25,7.0,Snow,137,HB
75,2013-03-17,2,0,-1,0,-3,-6,100,76,49,1008,1003,998,31.0,10.0,2.0,37,26,52.0,0.25,6.0,Snow,118,HB
76,2013-03-18,4,2,-1,2,0,-4,100,90,78,998,996,995,11.0,6.0,1.0,32,26,,0.0,6.0,Snow,104,HB
77,2013-03-19,2,0,-2,-2,-3,-4,93,81,62,1004,1000,997,26.0,12.0,9.0,21,14,,0.0,6.0,,37,HB
78,2013-03-20,1,-1,-2,-2,-4,-5,87,75,55,1012,1007,1004,26.0,14.0,10.0,24,16,,0.0,7.0,Rain,65,HB
79,2013-03-21,3,0,-2,-1,-3,-6,100,81,48,1022,1017,1012,26.0,11.0,3.0,21,11,,0.0,6.0,Snow,32,HB
80,2013-03-22,2,-1,-4,-3,-5,-9,100,75,45,1023,1022,1021,26.0,12.0,6.0,39,18,48.0,0.0,5.0,Snow,77,HB
81,2013-03-23,-1,-3,-6,-8,-13,-19,74,46,16,1026,1024,1023,31.0,19.0,10.0,42,32,58.0,0.0,5.0,,91,HB
82,2013-03-24,2,-2,-7,-8,-13,-16,64,41,18,1026,1024,1022,,,,42,31,55.0,0.0,,,91,HB
83,2013-03-25,3,-1,-4,-7,-9,-12,80,55,23,1023,1021,1019,31.0,17.0,10.0,45,31,58.0,0.0,6.0,,80,HB
84,2013-03-26,4,0,-4,-6,-8,-11,80,57,25,1020,1018,1016,31.0,12.0,10.0,35,24,48.0,0.0,4.0,,74,HB
85,2013-03-27,6,0,-5,-6,-8,-12,86,54,19,1017,1016,1014,31.0,28.0,10.0,32,21,48.0,0.0,3.0,,80,HB
86,2013-03-28,1,-1,-3,-2,-4,-6,93,79,62,1015,1013,1010,31.0,9.0,5.0,21,18,,0.0,6.0,Snow,72,HB
87,2013-03-29,2,0,-2,-1,-2,-3,94,86,63,1010,1008,1008,6.0,5.0,2.0,14,11,,0.0,6.0,Snow,6,HB
88,2013-03-30,3,1,-1,0,-1,-3,96,85,63,1012,1009,1008,11.0,7.0,3.0,23,8,,0.0,6.0,Snow,1,HB
89,2013-03-31,5,2,-2,-1,-3,-8,100,73,30,1014,1013,1011,31.0,10.0,3.0,23,11,,0.0,5.0,Snow,31,HB
90,2013-04-01,8,1,-7,-1,-7,-10,100,60,20,1014,1013,1011,31.0,13.0,0.0,26,10,47.0,0.0,1.0,Fog,15,HB
91,2013-04-02,8,1,-6,-6,-8,-11,93,50,19,1019,1015,1014,31.0,22.0,10.0,29,11,40.0,0.0,5.0,,78,HB
92,2013-04-03,7,2,-3,-3,-6,-11,86,56,21,1022,1020,1018,31.0,21.0,10.0,34,18,52.0,0.0,5.0,,73,HB
93,2013-04-04,7,2,-2,-2,-3,-5,86,62,35,1019,1016,1013,31.0,14.0,10.0,29,21,61.0,0.0,6.0,,67,HB
94,2013-04-05,3,1,-1,0,-2,-3,87,77,66,1016,1014,1012,31.0,13.0,10.0,21,16,,0.0,6.0,,38,HB
95,2013-04-06,9,4,-1,-1,-3,-7,100,59,22,1023,1020,1016,31.0,21.0,10.0,21,14,,0.0,6.0,,8,HB
96,2013-04-07,9,3,-3,2,-2,-8,100,74,19,1024,1021,1016,31.0,7.0,0.0,16,10,,0.0,5.0,Fog,279,HB
97,2013-04-08,11,3,-3,1,-2,-4,100,68,29,1017,1011,1006,31.0,11.0,5.0,29,13,,0.0,6.0,Fog,71,HB
98,2013-04-09,8,4,2,3,0,-2,87,69,56,1007,1004,1002,26.0,11.0,6.0,27,23,,2.03,6.0,Rain,103,HB
99,2013-04-10,10,7,4,8,4,2,100,88,79,1006,1003,1002,14.0,6.0,3.0,19,14,,1.02,6.0,Fog-Rain,143,HB
100,2013-04-11,11,6,0,10,6,1,100,96,86,1007,1000,997,13.0,5.0,0.0,23,10,,5.08,6.0,Fog-Rain,163,HB
101,2013-04-12,14,10,6,9,7,5,100,85,58,1002,1000,997,31.0,9.0,3.0,24,14,,2.03,6.0,Rain-Thunderstorm,228,HB
102,2013-04-13,12,9,6,7,6,4,94,83,58,1021,1012,1002,31.0,11.0,5.0,34,18,,0.0,6.0,Rain,236,HB
103,2013-04-14,17,11,5,12,8,4,87,77,65,1023,1021,1019,31.0,14.0,10.0,21,13,,0.0,6.0,Rain,148,HB
104,2013-04-15,22,16,10,12,10,8,100,71,34,1020,1018,1017,31.0,16.0,0.0,24,13,,0.51,7.0,Fog-Rain,193,HB
105,2013-04-16,19,13,7,12,9,4,100,75,30,1020,1018,1016,26.0,8.0,0.0,29,10,,0.0,6.0,Fog-Rain,207,HB
106,2013-04-17,18,12,7,13,10,6,100,76,53,1022,1019,1013,26.0,14.0,9.0,23,13,,0.0,6.0,Fog,203,HB
107,2013-04-18,18,14,10,12,4,-3,82,49,15,1016,1012,1008,31.0,22.0,10.0,47,23,66.0,0.0,4.0,,226,HB
108,2013-04-19,13,9,4,7,4,2,87,68,47,1028,1021,1016,31.0,16.0,4.0,32,21,,0.25,4.0,Rain,273,HB
109,2013-04-20,11,4,-2,3,1,-2,100,72,32,1033,1031,1028,31.0,16.0,10.0,21,13,,0.0,3.0,Fog,344,HB
110,2013-04-21,16,8,1,5,2,-1,93,60,25,1029,1021,1015,31.0,28.0,10.0,21,10,,0.0,1.0,,103,HB
111,2013-04-22,16,12,8,7,2,-4,82,53,18,1017,1015,1014,31.0,24.0,10.0,19,10,,0.0,7.0,Rain,243,HB
112,2013-04-23,14,10,6,9,6,2,88,67,44,1022,1017,1013,31.0,14.0,10.0,29,18,,0.0,7.0,Rain,246,HB
113,2013-04-24,21,12,3,10,7,3,100,68,33,1025,1023,1020,18.0,12.0,10.0,24,10,,0.0,5.0,,222,HB
114,2013-04-25,21,16,11,12,11,9,94,72,45,1025,1021,1015,19.0,10.0,5.0,16,10,,0.0,6.0,Rain,222,HB
115,2013-04-26,11,8,5,12,8,3,100,91,72,1015,1010,1007,19.0,8.0,1.0,23,10,,8.89,7.0,Fog-Rain,310,HB
116,2013-04-27,10,7,4,4,2,1,97,75,52,1014,1011,1008,31.0,14.0,10.0,23,16,,0.0,6.0,Rain,334,HB
117,2013-04-28,12,6,-1,4,1,-1,100,74,34,1018,1015,1013,31.0,15.0,3.0,14,10,,0.0,4.0,Fog,238,HB
118,2013-04-29,12,8,4,5,3,1,87,65,42,1019,1014,1012,31.0,16.0,10.0,35,16,50.0,0.0,5.0,Rain,226,HB
119,2013-04-30,14,8,2,5,2,-1,87,63,26,1026,1023,1019,31.0,17.0,10.0,24,11,,0.0,6.0,,297,HB
120,2013-05-01,17,9,1,5,2,0,93,60,27,1028,1025,1021,31.0,19.0,10.0,19,13,,0.0,1.0,,83,HB
121,2013-05-02,16,12,7,7,3,-2,71,53,30,1023,1022,1020,31.0,23.0,10.0,24,14,,0.0,6.0,,52,HB
122,2013-05-03,18,13,9,7,2,-2,76,46,27,1022,1018,1015,31.0,19.0,10.0,19,13,,0.0,5.0,Fog-Rain,109,HB
123,2013-05-04,21,13,6,8,6,1,93,62,24,1019,1016,1015,31.0,17.0,10.0,29,10,,0.0,,Fog,218,HB
124,2013-05-05,20,12,4,8,6,3,96,62,24,1024,1022,1020,31.0,17.0,10.0,19,8,,0.0,4.0,Fog,216,HB
125,2013-05-06,23,14,6,10,7,5,100,57,22,1024,1021,1018,31.0,20.0,10.0,21,8,,0.0,4.0,Fog,79,HB
126,2013-05-07,21,14,8,14,11,7,94,73,47,1019,1017,1013,26.0,14.0,5.0,29,11,,1.02,6.0,Rain,68,HB
127,2013-05-08,21,17,13,14,12,10,100,76,40,1014,1011,1009,23.0,8.0,0.0,27,11,,0.76,6.0,Fog-Rain,168,HB
128,2013-05-09,19,16,11,13,11,5,94,75,34,1013,1011,1010,31.0,13.0,5.0,26,13,,0.0,5.0,Rain,235,HB
129,2013-05-10,16,11,7,8,7,6,93,67,44,1015,1012,1010,31.0,15.0,10.0,34,13,,0.25,6.0,,215,HB
130,2013-05-11,16,11,7,9,8,6,100,78,43,1015,1013,1010,31.0,15.0,9.0,34,14,,1.02,5.0,Fog-Rain,198,HB
131,2013-05-12,13,10,8,8,7,4,93,79,52,1015,1011,1009,31.0,14.0,10.0,26,14,45.0,4.06,4.0,Rain,225,HB
132,2013-05-13,14,10,6,11,8,5,95,88,76,1015,1011,1008,31.0,12.0,5.0,23,13,,0.51,6.0,Rain,207,HB
133,2013-05-14,14,11,7,8,6,3,94,71,40,1010,1008,1006,31.0,15.0,10.0,32,14,,0.0,5.0,Rain,212,HB
134,2013-05-15,23,16,9,14,11,7,94,75,43,1006,1001,999,31.0,15.0,10.0,26,14,,0.51,5.0,Rain-Thunderstorm,150,HB
135,2013-05-16,21,15,9,16,12,9,100,80,50,1003,1000,995,26.0,13.0,6.0,24,10,,0.0,7.0,Fog-Rain-Thunderstorm,31,HB
136,2013-05-17,16,14,12,14,13,12,100,94,82,1002,999,996,31.0,6.0,0.0,23,11,,22.1,6.0,Fog-Rain-Thunderstorm,285,HB
137,2013-05-18,12,11,10,12,10,9,100,96,88,1011,1006,1002,10.0,7.0,3.0,21,13,,5.08,7.0,Rain,255,HB
138,2013-05-19,14,11,7,11,9,7,100,86,61,1011,1009,1007,14.0,8.0,0.0,11,5,,0.0,6.0,Fog-Rain,323,HB
139,2013-05-20,14,12,11,13,11,10,100,91,76,1009,1007,1006,10.0,6.0,3.0,11,6,,2.03,7.0,Rain,266,HB
140,2013-05-21,16,13,10,13,11,10,100,90,61,1010,1008,1006,10.0,6.0,3.0,19,10,,4.06,6.0,Rain,243,HB
141,2013-05-22,11,8,5,9,6,2,100,81,56,1011,1007,1005,31.0,10.0,3.0,40,27,64.0,0.0,6.0,Rain,300,HB
142,2013-05-23,9,6,3,6,4,2,93,84,55,1010,1008,1006,31.0,12.0,6.0,19,13,,8.89,7.0,Rain,268,HB
143,2013-05-24,12,8,4,6,4,1,100,75,38,1014,1011,1008,19.0,10.0,3.0,14,6,,0.0,6.0,Fog-Rain,341,HB
144,2013-05-25,12,8,4,9,7,4,100,89,64,1014,1012,1010,19.0,9.0,6.0,27,14,,7.11,7.0,Rain,296,HB
145,2013-05-26,13,11,8,11,9,8,100,94,75,1010,1006,1005,10.0,6.0,2.0,37,23,,2.03,7.0,Rain,301,HB
146,2013-05-27,12,10,8,11,9,8,100,95,82,1009,1007,1004,18.0,7.0,3.0,27,18,,7.87,6.0,Fog-Rain,293,HB
147,2013-05-28,20,14,8,13,10,8,100,81,41,1010,1005,1001,31.0,8.0,0.0,21,5,,1.02,4.0,Fog-Rain,72,HB
148,2013-05-29,17,14,11,13,11,9,94,84,57,1003,999,998,26.0,11.0,8.0,21,11,,2.03,5.0,Rain,51,HB
149,2013-05-30,18,14,11,13,12,10,100,83,59,1008,1006,1003,10.0,7.0,3.0,23,10,,0.25,6.0,Rain,258,HB
150,2013-05-31,22,17,13,14,12,9,94,74,43,1009,1007,1005,26.0,11.0,5.0,34,21,,0.0,3.0,,342,HB
151,2013-06-01,12,11,10,12,10,7,100,94,82,1018,1013,1009,14.0,6.0,1.0,34,24,53.0,0.0,7.0,Rain,312,HB
152,2013-06-02,14,11,8,7,6,4,87,69,45,1026,1022,1018,31.0,13.0,10.0,37,27,55.0,0.0,6.0,,325,HB
153,2013-06-03,15,11,6,8,7,5,100,74,52,1027,1026,1025,31.0,13.0,10.0,32,19,47.0,0.0,4.0,,318,HB
154,2013-06-04,21,14,8,11,9,1,100,67,32,1026,1022,1020,31.0,10.0,1.0,24,14,,0.0,4.0,Fog,357,HB
155,2013-06-05,22,15,8,10,7,1,76,51,29,1022,1020,1019,31.0,11.0,10.0,19,10,,0.0,3.0,,108,HB
156,2013-06-06,23,16,9,11,8,5,82,53,23,1022,1021,1020,31.0,24.0,10.0,19,8,,0.0,6.0,,117,HB
157,2013-06-07,24,17,11,12,9,6,88,53,24,1022,1021,1020,26.0,26.0,26.0,21,11,,0.0,,,30,HB
158,2013-06-08,21,16,12,12,10,8,88,70,46,1021,1019,1016,31.0,16.0,10.0,26,14,39.0,0.0,1.0,,350,HB
159,2013-06-09,19,14,11,11,9,8,82,69,46,1016,1013,1011,31.0,13.0,10.0,23,14,,0.0,5.0,,2,HB
160,2013-06-10,20,12,5,11,8,5,100,71,39,1015,1012,1011,31.0,15.0,10.0,19,11,,0.0,5.0,,313,HB
161,2013-06-11,20,13,7,9,8,6,100,70,35,1018,1016,1015,31.0,16.0,10.0,14,8,,0.0,4.0,Fog,306,HB
162,2013-06-12,24,17,9,15,12,7,93,70,44,1018,1016,1014,31.0,16.0,9.0,29,11,39.0,0.0,6.0,Rain,163,HB
163,2013-06-13,22,17,12,18,16,11,100,87,68,1015,1012,1011,31.0,11.0,5.0,26,13,,3.05,7.0,Rain,221,HB
164,2013-06-14,18,15,12,12,11,9,94,74,47,1019,1016,1013,31.0,13.0,10.0,29,19,,0.0,6.0,Rain,229,HB
165,2013-06-15,21,15,9,14,9,4,94,69,31,1017,1012,1007,31.0,19.0,10.0,34,14,,2.03,4.0,Rain,184,HB
166,2013-06-16,20,14,9,11,8,6,82,60,34,1017,1014,1011,10.0,10.0,10.0,27,16,,0.0,5.0,,245,HB
167,2013-06-17,24,17,10,13,11,8,100,64,36,1019,1017,1014,31.0,26.0,10.0,19,10,,0.0,8.0,Fog,74,HB
168,2013-06-18,28,21,14,18,14,12,82,64,38,1016,1015,1014,31.0,28.0,19.0,16,11,,0.0,,,87,HB
169,2013-06-19,28,23,19,21,18,14,100,71,38,1016,1013,1010,31.0,15.0,5.0,35,13,66.0,0.76,6.0,Rain-Thunderstorm,84,HB
170,2013-06-20,27,22,16,20,18,17,100,87,52,1014,1012,1008,31.0,11.0,1.0,26,8,55.0,32.0,5.0,Fog-Rain-Thunderstorm,75,HB
171,2013-06-21,19,18,15,18,16,14,100,90,69,1012,1009,1006,31.0,11.0,3.0,32,13,52.0,7.11,5.0,Fog-Rain-Thunderstorm,226,HB
172,2013-06-22,22,18,14,15,13,12,94,76,53,1013,1011,1009,31.0,13.0,10.0,29,16,48.0,0.0,5.0,Rain,208,HB
173,2013-06-23,19,16,13,14,12,10,94,80,57,1011,1009,1008,31.0,14.0,6.0,35,19,52.0,0.51,5.0,Rain,209,HB
174,2013-06-24,18,14,12,14,12,11,94,83,63,1021,1016,1011,31.0,14.0,10.0,26,14,,1.02,5.0,Rain,234,HB
175,2013-06-25,15,13,12,12,9,7,94,77,55,1026,1024,1021,31.0,14.0,8.0,32,16,45.0,0.0,5.0,Rain,301,HB
176,2013-06-26,16,13,9,8,7,5,82,66,42,1026,1024,1023,31.0,13.0,10.0,34,21,48.0,0.0,5.0,Rain,296,HB
177,2013-06-27,14,11,8,11,9,7,100,83,57,1023,1021,1020,26.0,13.0,10.0,26,13,,0.76,7.0,Rain,252,HB
178,2013-06-28,14,12,9,12,10,9,100,89,75,1020,1017,1015,31.0,11.0,6.0,21,13,,1.02,6.0,Rain,206,HB
179,2013-06-29,16,12,8,14,11,5,100,83,45,1022,1015,1010,31.0,9.0,2.0,34,16,52.0,0.51,6.0,Rain,271,HB
180,2013-06-30,17,12,6,14,10,5,100,82,64,1023,1020,1017,31.0,15.0,10.0,24,11,,0.0,6.0,Fog-Rain,244,HB
181,2013-07-01,21,17,13,15,13,10,95,76,47,1017,1015,1014,31.0,13.0,9.0,27,13,,0.0,6.0,Fog,245,HB
182,2013-07-02,21,15,9,12,10,6,100,67,33,1016,1014,1010,31.0,15.0,10.0,13,6,,0.0,3.0,,212,HB
183,2013-07-03,24,19,15,18,15,12,94,77,60,1014,1009,1006,31.0,15.0,6.0,19,11,,2.03,6.0,Rain,197,HB
184,2013-07-04,22,19,16,17,16,15,100,82,64,1022,1018,1014,19.0,9.0,3.0,16,10,,0.0,6.0,Rain,238,HB
